country,region,district,ward,village
kamuntu,chakula,simba,pamoja,biluxo
kamuntu,chakula,simba,pamoja,biluxu
kamuntu,chakula,simba,walizo,biluta
kamuntu,chakula,simba,walizo,biluti
kamuntu,chakula,simba,walizo,biluto
kamuntu,faraja,mbitu,gomandi,chaja
kamuntu,faraja,mbitu,gomandi,chonjuwi
kamuntu,faraja,mbitu,gomandi,lichi
kamuntu,faraja,mbitu,hugu,mwamwi
kamuntu,faraja,mbitu,hugu,ndanya
kamuntu,faraja,mbitu,hugu,niga
kamuntu,faraja,mbitu,hugu,shubo
kamuntu,faraja,mbitu,hugu,sotira
kamuntu,faraja,mbitu,njilume,kangangi
kamuntu,faraja,mbitu,njilume,lase
kamuntu,faraja,mbitu,njilume,pime
kamuntu,faraja,mbitu,njilume,tuya
kamuntu,faraja,mbitu,njilume,zishe
kamuntu,faraja,nditi,fanja,hinyimbe
kamuntu,faraja,nditi,fanja,vonyi
kamuntu,faraja,nditi,fanja,wawa
kamuntu,faraja,nditi,jiche,kaye
kamuntu,faraja,nditi,jiche,ndinyo
kamuntu,faraja,nditi,jiche,tila
kamuntu,faraja,nditi,jiche,yinja
kamuntu,faraja,nditi,lanyi,choya
kamuntu,faraja,nditi,lanyi,mbicha
kamuntu,faraja,nditi,lanyi,minyi
kamuntu,faraja,nditi,lanyi,ngiya
kamuntu,faraja,nditi,lanyi,nguva
kamuntu,faraja,nditi,ndomamba,dashi
kamuntu,faraja,nditi,ndomamba,hizo
kamuntu,faraja,nditi,ndomamba,mili
kamuntu,faraja,nditi,ndomamba,njata
kamuntu,faraja,nditi,ndomamba,rakihi
kamuntu,faraja,nyada,hanga,fakenji
kamuntu,faraja,nyada,hanga,goli
kamuntu,faraja,nyada,hanga,pujufi
kamuntu,faraja,nyada,kuju,filo
kamuntu,faraja,nyada,kuju,gagi
kamuntu,faraja,nyada,kuju,nyapimwu
kamuntu,faraja,nyada,kuju,tindizi
kamuntu,faraja,nyada,kuju,wale
kamuntu,faraja,nyada,ninika,kalana
kamuntu,faraja,nyada,ninika,komi
kamuntu,faraja,nyada,ninika,mwelaje
kamuntu,faraja,nyada,ninika,ndazu
kamuntu,faraja,nyada,ninika,yulo
kamuntu,faraja,nyada,sinyewe,kevi
kamuntu,faraja,nyada,sinyewe,ngachi
kamuntu,faraja,nyada,sinyewe,nuku
kamuntu,faraja,nyada,sinyewe,viha
kamuntu,faraja,nyada,sinyewe,yofa
kamuntu,faraja,nyada,wumbami,lorundi
kamuntu,faraja,nyada,wumbami,shawoze
kamuntu,faraja,nyada,wumbami,tutowo
kamuntu,faraja,nyada,wumbami,yichu
kamuntu,faraja,tunza,kuitwa,gipu
kamuntu,faraja,tunza,kuitwa,jeshi
kamuntu,faraja,tunza,kuitwa,nirime
kamuntu,faraja,tunza,pikamo,mbobo
kamuntu,faraja,tunza,pikamo,pusha
kamuntu,faraja,tunza,pikamo,tandi
kamuntu,faraja,tunza,tendinja,mamwu
kamuntu,faraja,tunza,tendinja,mbotiya
kamuntu,faraja,tunza,tendinja,shezi
kamuntu,faraja,zawadi,kufanya,gawanji
kamuntu,faraja,zawadi,kufanya,nisha
kamuntu,faraja,zawadi,kufanya,siwo
kamuntu,faraja,zawadi,kusikia,chinja
kamuntu,faraja,zawadi,kusikia,dagambe
kamuntu,faraja,zawadi,kusikia,ganyu
kamuntu,faraja,zawadi,kusikia,huzeke
kamuntu,faraja,zawadi,kuwasha,bunoshi
kamuntu,faraja,zawadi,kuwasha,njidamo
kamuntu,faraja,zawadi,kuwasha,veshata
kamuntu,faraja,zawadi,kuwasha,veve
kamuntu,faraja,zawadi,kuweza,nima
kamuntu,faraja,zawadi,kuweza,ponu
kamuntu,faraja,zawadi,kuweza,woja
kamuntu,jasiri,asilani,kufa,mbabagi
kamuntu,jasiri,asilani,kufa,numbeho
kamuntu,jasiri,asilani,kufa,nyagi
kamuntu,jasiri,asilani,kupika,kinje
kamuntu,jasiri,asilani,kupika,lunga
kamuntu,jasiri,asilani,kupika,nyapo
kamuntu,jasiri,asilani,kupika,rive
kamuntu,jasiri,asilani,kusoma,nife
kamuntu,jasiri,asilani,kusoma,nuyiyu
kamuntu,jasiri,asilani,kusoma,yukuchu
kamuntu,jasiri,asilani,kuzaa,jichu
kamuntu,jasiri,asilani,kuzaa,mwanjona
kamuntu,jasiri,asilani,kuzaa,ranyo
kamuntu,jasiri,asilani,kuzaa,sicha
kamuntu,jasiri,asilani,kuzaa,sikachu
kamuntu,jasiri,asilani,mapicho,nape
kamuntu,jasiri,asilani,mapicho,newapa
kamuntu,jasiri,asilani,mapicho,nichuta
kamuntu,jasiri,asilani,mapicho,pati
kamuntu,jasiri,baraka,safari,bimapa
kamuntu,jasiri,baraka,safari,bimaqa
kamuntu,jasiri,baraka,safari,bimara
kamuntu,jasiri,baraka,upendo,bimbea
kamuntu,jasiri,baraka,upendo,bimbee
kamuntu,jasiri,baraka,upendo,bimbei
kamuntu,jasiri,baraka,upendo,bimbel
kamuntu,jasiri,baraka,ushindi,bimaxa
kamuntu,jasiri,baraka,ushindi,bimaya
kamuntu,jasiri,baraka,ushindi,bimaza
kamuntu,jasiri,baraka,ushindi,bimbaa
kamuntu,jasiri,baraka,ushindi,bimbi
kamuntu,jasiri,baraka,walili,bimasa
kamuntu,jasiri,baraka,walili,bimata
kamuntu,jasiri,baraka,walili,bimaua
kamuntu,jasiri,baraka,walili,bimava
kamuntu,jasiri,baraka,walili,bimawa
kamuntu,jasiri,mapema,tahini,bimbez
kamuntu,jasiri,mapema,tahini,jaromwa
kamuntu,jasiri,mapema,tahini,kehi
kamuntu,jasiri,mapema,tahini,linda
kamuntu,jasiri,mapema,tahini,zore
kamuntu,jasiri,mapema,ujinga,bimben
kamuntu,jasiri,mapema,ujinga,bimbeo
kamuntu,jasiri,mapema,ujinga,bimbeu
kamuntu,jasiri,mapema,ujinga,bimbey
kamuntu,jasiri,mapema,usawa,mavami
kamuntu,jasiri,mapema,usawa,mbuya
kamuntu,jasiri,mapema,usawa,ranjonya
kamuntu,jasiri,sihaya,kujua,kiteya
kamuntu,jasiri,sihaya,kujua,labi
kamuntu,jasiri,sihaya,kujua,rimisu
kamuntu,jasiri,sihaya,kujua,vini
kamuntu,jasiri,sihaya,kupiga,micha
kamuntu,jasiri,sihaya,kupiga,shejoshu
kamuntu,jasiri,sihaya,kupiga,shucha
kamuntu,jasiri,sihaya,kutaka,bimi
kamuntu,jasiri,sihaya,kutaka,gako
kamuntu,jasiri,sihaya,kutaka,jande
kamuntu,jasiri,sihaya,kutaka,mwahamba
kamuntu,kango,gina,gusho,lomimwo
kamuntu,kango,gina,gusho,ngamibi
kamuntu,kango,gina,gusho,nyuke
kamuntu,kango,gina,gusho,pamo
kamuntu,kango,gina,gusho,zifi
kamuntu,kango,gina,kinya,fugami
kamuntu,kango,gina,kinya,kunadu
kamuntu,kango,gina,kinya,lofi
kamuntu,kango,gina,kinya,newine
kamuntu,kango,gina,kinya,sona
kamuntu,kango,gina,mbeji,galo
kamuntu,kango,gina,mbeji,latu
kamuntu,kango,gina,mbeji,mandi
kamuntu,kango,gina,mbeji,mipo
kamuntu,kango,gina,mbeji,njile
kamuntu,kango,gina,wisave,chutavi
kamuntu,kango,gina,wisave,damwoma
kamuntu,kango,gina,wisave,gumbe
kamuntu,kango,migo,gamba,hinyi
kamuntu,kango,migo,gamba,naveta
kamuntu,kango,migo,gamba,nopo
kamuntu,kango,migo,gamba,taga
kamuntu,kango,migo,ndadifa,chasama
kamuntu,kango,migo,ndadifa,gilure
kamuntu,kango,migo,ndadifa,mwoha
kamuntu,kango,migo,ndamba,goko
kamuntu,kango,migo,ndamba,kayagi
kamuntu,kango,migo,ndamba,wafa
kamuntu,kango,migo,tezu,fakeja
kamuntu,kango,migo,tezu,kinga
kamuntu,kango,migo,tezu,nefo
kamuntu,kango,migo,tezu,nezo
kamuntu,kango,migo,tezu,zamwiwo
kamuntu,kango,migo,wachoja,gochi
kamuntu,kango,migo,wachoja,lara
kamuntu,kango,migo,wachoja,lifu
kamuntu,kango,migo,wachoja,limwaga
kamuntu,kango,migo,wachoja,pahi
kamuntu,kango,mufo,chonja,chimwaka
kamuntu,kango,mufo,chonja,chino
kamuntu,kango,mufo,chonja,kinjada
kamuntu,kango,mufo,chonja,moma
kamuntu,kango,mufo,chonja,nyiwa
kamuntu,kango,mufo,gijambi,gava
kamuntu,kango,mufo,gijambi,ngazefi
kamuntu,kango,mufo,gijambi,nujawa
kamuntu,kango,mufo,gijambi,vondeba
kamuntu,kango,mufo,jaga,gumwuza
kamuntu,kango,mufo,jaga,mwama
kamuntu,kango,mufo,jaga,ndibo
kamuntu,kango,mufo,jaga,shanjafo
kamuntu,kango,mufo,jaga,sile
kamuntu,kango,mufo,manje,mbabe
kamuntu,kango,mufo,manje,mwaga
kamuntu,kango,mufo,manje,nandu
kamuntu,kango,shinyuna,femevi,mbape
kamuntu,kango,shinyuna,femevi,pade
kamuntu,kango,shinyuna,femevi,rati
kamuntu,kango,shinyuna,mango,hama
kamuntu,kango,shinyuna,mango,jaji
kamuntu,kango,shinyuna,mango,nanago
kamuntu,kango,shinyuna,mango,ngofa
kamuntu,kango,shinyuna,mango,vewiva
kamuntu,kango,shinyuna,paku,hinu
kamuntu,kango,shinyuna,paku,rako
kamuntu,kango,shinyuna,paku,shepa
kamuntu,kango,ziwo,mwahi,mbambi
kamuntu,kango,ziwo,mwahi,mbasamwa
kamuntu,kango,ziwo,mwahi,rimba
kamuntu,kango,ziwo,mwahi,sehara
kamuntu,kango,ziwo,ndochi,biyanya
kamuntu,kango,ziwo,ndochi,huzonde
kamuntu,kango,ziwo,ndochi,kapabi
kamuntu,kango,ziwo,ndochi,shani
kamuntu,kango,ziwo,ndochi,wawaka
kamuntu,kango,ziwo,ngagi,mafidi
kamuntu,kango,ziwo,ngagi,mago
kamuntu,kango,ziwo,ngagi,ronyi
kamuntu,kilima,karamu,damu,biliyo
kamuntu,kilima,karamu,damu,biliza
kamuntu,kilima,karamu,damu,bilizo
kamuntu,kilima,karamu,damu,bilkou
kamuntu,kilima,karamu,damu,bilkua
kamuntu,kilima,karamu,kobe,billah
kamuntu,kilima,karamu,kobe,billi
kamuntu,kilima,karamu,kobe,billio
kamuntu,kilima,karamu,kobe,billsi
kamuntu,kilima,karamu,mbegu,bilita
kamuntu,kilima,karamu,mbegu,bilivu
kamuntu,kilima,karamu,mbegu,biliwa
kamuntu,kilima,karamu,mbegu,bilixi
kamuntu,kilima,karamu,shimo,bilina
kamuntu,kilima,karamu,shimo,bilini
kamuntu,kilima,karamu,shimo,bilino
kamuntu,kilima,karamu,uzima,billyu
kamuntu,kilima,karamu,uzima,bilosa
kamuntu,kilima,karamu,uzima,bilosi
kamuntu,kilima,karamu,uzima,bilota
kamuntu,kilima,karamu,uzima,biloti
kamuntu,kilima,mfumo,changa,biloxo
kamuntu,kilima,mfumo,changa,biloza
kamuntu,kilima,mfumo,changa,bilozo
kamuntu,kilima,mfumo,changa,biluba
kamuntu,kilima,mfumo,haraka,bilowa
kamuntu,kilima,mfumo,haraka,bilowi
kamuntu,kilima,mfumo,haraka,bilowu
kamuntu,kilima,mfumo,haraka,biloxa
kamuntu,kilima,mfumo,haraka,biloxi
kamuntu,kilima,mfumo,hasara,biloto
kamuntu,kilima,mfumo,hasara,bilova
kamuntu,kilima,mfumo,hasara,bilovi
kamuntu,kilima,mfumo,hasara,bilovu
kamuntu,kilima,mfumo,nguvu,biluci
kamuntu,kilima,mfumo,nguvu,bilucu
kamuntu,kilima,mfumo,nguvu,biludu
kamuntu,kilima,mfumo,nguvu,bilufa
kamuntu,kilima,mfumo,nguvu,bilufi
kamuntu,kilima,mfumo,wimbo,bilubi
kamuntu,kilima,mfumo,wimbo,bilubu
kamuntu,kilima,mfumo,wimbo,biluca
kamuntu,kilima,mfumo,wimbo,biluch
kamuntu,kilima,mkutani,kwetu,amani
kamuntu,kilima,mkutani,kwetu,asaante
kamuntu,kilima,mkutani,kwetu,asha
kamuntu,kilima,mkutani,kwetu,athari
kamuntu,kilima,mkutani,kwetu,baadhi
kamuntu,kilima,mkutani,msitu,balozi
kamuntu,kilima,mkutani,msitu,bambi
kamuntu,kilima,mkutani,msitu,bandari
kamuntu,kilima,mkutani,msitu,bano
kamuntu,kilima,mkutani,msitu,baridi
kamuntu,kilima,mkutani,mtai,basi
kamuntu,kilima,mkutani,mtai,bauli
kamuntu,kilima,mkutani,mtai,bedui
kamuntu,kilima,mkutani,mwana,bendera
kamuntu,kilima,mkutani,mwana,beni
kamuntu,kilima,mkutani,mwana,bere
kamuntu,kilima,njia,barafu,biluji
kamuntu,kilima,njia,barafu,bilujo
kamuntu,kilima,njia,barafu,biluju
kamuntu,kilima,njia,barafu,biluka
kamuntu,kilima,njia,joto,biluha
kamuntu,kilima,njia,joto,biluhi
kamuntu,kilima,njia,joto,biluho
kamuntu,kilima,njia,joto,biluhu
kamuntu,kilima,njia,joto,biluja
kamuntu,kilima,njia,moyo,bilufo
kamuntu,kilima,njia,moyo,bilufu
kamuntu,kilima,njia,moyo,biluga
kamuntu,kilima,njia,moyo,bilugi
kamuntu,kilima,njia,wingu,bilugo
kamuntu,kilima,njia,wingu,bilugu
kamuntu,kilima,njia,wingu,biluh
kamuntu,kilima,nyani,mkunge,bilema
kamuntu,kilima,nyani,mkunge,bileya
kamuntu,kilima,nyani,mkunge,bileza
kamuntu,kilima,nyani,pika,bilicho
kamuntu,kilima,nyani,pika,biliha
kamuntu,kilima,nyani,pika,biliki
kamuntu,kilima,nyani,pika,bilili
kamuntu,kilima,nyani,pika,bililo
kamuntu,kilima,nyani,upande,bigeu
kamuntu,kilima,nyani,upande,bigi
kamuntu,kilima,nyani,upande,bigny
kamuntu,kilima,nyani,upande,bileh
kamuntu,kilima,pembe,jumba,bibi
kamuntu,kilima,pembe,jumba,bicha
kamuntu,kilima,pembe,jumba,bidi
kamuntu,kilima,pembe,soko,berio
kamuntu,kilima,pembe,soko,bertu
kamuntu,kilima,pembe,soko,beso
kamuntu,kilima,pembe,soko,bevu
kamuntu,kilima,pembe,wingi,bieke
kamuntu,kilima,pembe,wingi,bielu
kamuntu,kilima,pembe,wingi,bievu
kamuntu,kukanja,njepe,jovo,meba
kamuntu,kukanja,njepe,jovo,ndeshe
kamuntu,kukanja,njepe,jovo,ngowiha
kamuntu,kukanja,njepe,jovo,zamwe
kamuntu,kukanja,njepe,kaku,dimana
kamuntu,kukanja,njepe,kaku,jafi
kamuntu,kukanja,njepe,kaku,moga
kamuntu,kukanja,njepe,kaku,njamina
kamuntu,kukanja,njepe,kaku,rosha
kamuntu,kukanja,njepe,ngemba,kamu
kamuntu,kukanja,njepe,ngemba,maji
kamuntu,kukanja,njepe,ngemba,mbahasa
kamuntu,kukanja,njepe,ngemba,ndubu
kamuntu,kukanja,njepe,ngemba,voro
kamuntu,kukanja,njepe,yimombi,nyola
kamuntu,kukanja,njepe,yimombi,pena
kamuntu,kukanja,njepe,yimombi,valovu
kamuntu,kukanja,shamba,bangacho,mwoda
kamuntu,kukanja,shamba,bangacho,njavu
kamuntu,kukanja,shamba,bangacho,yobo
kamuntu,kukanja,shamba,jusi,chaweje
kamuntu,kukanja,shamba,jusi,gavi
kamuntu,kukanja,shamba,jusi,rika
kamuntu,kukanja,shamba,jusi,tolo
kamuntu,kukanja,shamba,jusi,yami
kamuntu,kukanja,shamba,minda,fenjoma
kamuntu,kukanja,shamba,minda,kenagi
kamuntu,kukanja,shamba,minda,lambi
kamuntu,kukanja,shamba,minda,shunyonja
kamuntu,kukanja,shamba,mozu,chanya
kamuntu,kukanja,shamba,mozu,naya
kamuntu,kukanja,shamba,mozu,wenyoja
kamuntu,kukanja,shamba,mozu,zogi
kamuntu,kukanja,shamba,tori,danoya
kamuntu,kukanja,shamba,tori,hihi
kamuntu,kukanja,shamba,tori,shamwa
kamuntu,kukanja,vuya,bichi,duvizo
kamuntu,kukanja,vuya,bichi,liwa
kamuntu,kukanja,vuya,bichi,ndungo
kamuntu,kukanja,vuya,bichi,wiwa
kamuntu,kukanja,vuya,haju,landiza
kamuntu,kukanja,vuya,haju,ndowi
kamuntu,kukanja,vuya,haju,shahu
kamuntu,kukanja,vuya,haju,ziheva
kamuntu,kukanja,vuya,mbivo,nazuli
kamuntu,kukanja,vuya,mbivo,poshi
kamuntu,kukanja,vuya,mbivo,timbitu
kamuntu,kukanja,vuya,mbivo,tochu
kamuntu,kukanja,vuya,zoma,bana
kamuntu,kukanja,vuya,zoma,kenyishi
kamuntu,kukanja,vuya,zoma,koba
kamuntu,kukanja,vuya,zoma,mendami
kamuntu,kune,lumwi,dobo,fimbila
kamuntu,kune,lumwi,dobo,hima
kamuntu,kune,lumwi,dobo,kechanya
kamuntu,kune,lumwi,dobo,mipa
kamuntu,kune,lumwi,dobo,nayili
kamuntu,kune,lumwi,mihe,gane
kamuntu,kune,lumwi,mihe,kingi
kamuntu,kune,lumwi,mihe,masha
kamuntu,kune,lumwi,mihe,memwika
kamuntu,kune,lumwi,mihe,tuma
kamuntu,kune,lumwi,mishi,doyu
kamuntu,kune,lumwi,mishi,mimanja
kamuntu,kune,lumwi,mishi,numo
kamuntu,kune,lumwi,mishi,shuyu
kamuntu,kune,mbiri,bedu,bayami
kamuntu,kune,mbiri,bedu,changomu
kamuntu,kune,mbiri,bedu,chata
kamuntu,kune,mbiri,bedu,chishi
kamuntu,kune,mbiri,bedu,mazu
kamuntu,kune,mbiri,tamo,pamwa
kamuntu,kune,mbiri,tamo,shuki
kamuntu,kune,mbiri,tamo,vimba
kamuntu,kune,mbiri,zonya,hanganga
kamuntu,kune,mbiri,zonya,juta
kamuntu,kune,mbiri,zonya,nyadu
kamuntu,kune,mbiri,zonya,rafe
kamuntu,kune,neka,kurachi,fikunga
kamuntu,kune,neka,kurachi,ndoma
kamuntu,kune,neka,kurachi,wuko
kamuntu,kune,neka,mwijasi,chesha
kamuntu,kune,neka,mwijasi,naho
kamuntu,kune,neka,mwijasi,nyidambi
kamuntu,kune,neka,nyosi,chinusha
kamuntu,kune,neka,nyosi,mbamwicha
kamuntu,kune,neka,nyosi,sinda
kamuntu,kune,neka,nyosi,tagi
kamuntu,kune,neka,nyosi,wamba
kamuntu,kune,neka,pivuha,mwendi
kamuntu,kune,neka,pivuha,nasho
kamuntu,kune,neka,pivuha,niba
kamuntu,kune,neka,pivuha,nivi
kamuntu,kune,neka,pivuha,wifamo
kamuntu,kune,njuda,bufu,mapa
kamuntu,kune,njuda,bufu,mbifi
kamuntu,kune,njuda,bufu,nawe
kamuntu,kune,njuda,bufu,ngimwu
kamuntu,kune,njuda,bufu,wumbeki
kamuntu,kune,njuda,chefi,chafa
kamuntu,kune,njuda,chefi,choja
kamuntu,kune,njuda,chefi,mwafu
kamuntu,kune,njuda,chefi,pando
kamuntu,kune,njuda,chefi,tengiza
kamuntu,kune,njuda,mwaku,koki
kamuntu,kune,njuda,mwaku,nami
kamuntu,kune,njuda,mwaku,ndaya
kamuntu,kune,njuda,mwaku,tuvi
kamuntu,kune,njuda,nareya,heto
kamuntu,kune,njuda,nareya,lipi
kamuntu,kune,njuda,nareya,ndifu
kamuntu,kune,njuda,nareya,wenyafe
kamuntu,kune,njuda,nareya,yamwi
kamuntu,kune,njuda,zasu,benyuza
kamuntu,kune,njuda,zasu,mifi
kamuntu,kune,njuda,zasu,sida
kamuntu,kune,njuda,zasu,subaja
kamuntu,kune,njuda,zasu,taza
kamuntu,njifefo,chota,jundi,goke
kamuntu,njifefo,chota,jundi,ndengaki
kamuntu,njifefo,chota,jundi,nyuchuvu
kamuntu,njifefo,chota,nano,chesa
kamuntu,njifefo,chota,nano,tafu
kamuntu,njifefo,chota,nano,zadumbu
kamuntu,njifefo,chota,shahidu,jenu
kamuntu,njifefo,chota,shahidu,mezi
kamuntu,njifefo,chota,shahidu,mwisina
kamuntu,njifefo,chota,shahidu,namo
kamuntu,njifefo,chota,shahidu,tesawe
kamuntu,njifefo,chota,shuni,kenaza
kamuntu,njifefo,chota,shuni,nangu
kamuntu,njifefo,chota,shuni,njawu
kamuntu,njifefo,chota,shuni,voshi
kamuntu,njifefo,chota,wali,chundichu
kamuntu,njifefo,chota,wali,date
kamuntu,njifefo,chota,wali,fache
kamuntu,njifefo,chota,wali,hamwuva
kamuntu,njifefo,fenji,lasa,dosa
kamuntu,njifefo,fenji,lasa,habami
kamuntu,njifefo,fenji,lasa,kanomwi
kamuntu,njifefo,fenji,lasa,mbonyare
kamuntu,njifefo,fenji,lasa,ramika
kamuntu,njifefo,fenji,lonja,kunyizi
kamuntu,njifefo,fenji,lonja,michu
kamuntu,njifefo,fenji,lonja,muka
kamuntu,njifefo,fenji,lonja,pego
kamuntu,njifefo,fenji,lonja,vala
kamuntu,njifefo,fenji,yimu,fale
kamuntu,njifefo,fenji,yimu,lidini
kamuntu,njifefo,fenji,yimu,nduye
kamuntu,njifefo,fenji,yimu,ngaza
kamuntu,njifefo,fenji,yimu,shinowi
kamuntu,njifefo,fenji,yoni,njagimba
kamuntu,njifefo,fenji,yoni,sesi
kamuntu,njifefo,fenji,yoni,yachu
kamuntu,njifefo,kane,layashi,biye
kamuntu,njifefo,kane,layashi,kizu
kamuntu,njifefo,kane,layashi,mwawa
kamuntu,njifefo,kane,layashi,zanami
kamuntu,njifefo,kane,shara,chinga
kamuntu,njifefo,kane,shara,homoki
kamuntu,njifefo,kane,shara,mapu
kamuntu,njifefo,kane,shara,tangi
kamuntu,njifefo,kane,wasi,janyo
kamuntu,njifefo,kane,wasi,nyaka
kamuntu,njifefo,kane,wasi,sefu
kamuntu,njifefo,kane,wasi,tupo
kamuntu,njifefo,kane,wasi,yingucha
kamuntu,njifefo,nyamamwa,bacha,gasa
kamuntu,njifefo,nyamamwa,bacha,gipa
kamuntu,njifefo,nyamamwa,bacha,huna
kamuntu,njifefo,nyamamwa,bacha,jisha
kamuntu,njifefo,nyamamwa,bacha,mambi
kamuntu,njifefo,nyamamwa,dobewa,chundi
kamuntu,njifefo,nyamamwa,dobewa,mana
kamuntu,njifefo,nyamamwa,dobewa,ngama
kamuntu,njifefo,nyamamwa,dobewa,nyamako
kamuntu,njifefo,nyamamwa,dobewa,papango
kamuntu,njifefo,nyamamwa,vumbole,dane
kamuntu,njifefo,nyamamwa,vumbole,mweve
kamuntu,njifefo,nyamamwa,vumbole,wizefe
kamuntu,njifefo,wika,jazo,nyuda
kamuntu,njifefo,wika,jazo,popi
kamuntu,njifefo,wika,jazo,tuvocha
kamuntu,njifefo,wika,mwibo,mamwo
kamuntu,njifefo,wika,mwibo,mora
kamuntu,njifefo,wika,mwibo,mwiwi
kamuntu,njifefo,wika,mwibo,nina
kamuntu,njifefo,wika,mwibo,nyiki
kamuntu,njifefo,wika,ndeba,menge
kamuntu,njifefo,wika,ndeba,namba
kamuntu,njifefo,wika,ndeba,peha
kamuntu,njifefo,wika,ndeba,raka
kamuntu,njifefo,wika,zikimu,nyichonya
kamuntu,njifefo,wika,zikimu,nyolacha
kamuntu,njifefo,wika,zikimu,ziji
kamuntu,njifefo,yiweha,biniki,gizu
kamuntu,njifefo,yiweha,biniki,kilo
kamuntu,njifefo,yiweha,biniki,nikama
kamuntu,njifefo,yiweha,biniki,ramwa
kamuntu,njifefo,yiweha,biniki,wanjipa
kamuntu,njifefo,yiweha,dambi,daba
kamuntu,njifefo,yiweha,dambi,daju
kamuntu,njifefo,yiweha,dambi,machu
kamuntu,njifefo,yiweha,dambi,pima
kamuntu,njifefo,yiweha,mbudi,jange
kamuntu,njifefo,yiweha,mbudi,kavunji
kamuntu,njifefo,yiweha,mbudi,muru
kamuntu,njifefo,yiweha,mbudi,noba
kamuntu,njifefo,yiweha,mbudi,ranije
kamuntu,njifefo,yiweha,ndagi,jashipi
kamuntu,njifefo,yiweha,ndagi,mbapicha
kamuntu,njifefo,yiweha,ndagi,tiwa
kamuntu,njifefo,yiweha,ndagi,yiti
kamuntu,njifefo,yiweha,ndagi,zisho
kamuntu,njiha,kinji,diva,jajo
kamuntu,njiha,kinji,diva,kekuva
kamuntu,njiha,kinji,diva,tacho
kamuntu,njiha,kinji,diva,teja
kamuntu,njiha,kinji,fuwime,fihi
kamuntu,njiha,kinji,fuwime,gumi
kamuntu,njiha,kinji,fuwime,ngayi
kamuntu,njiha,kinji,fuwime,njihini
kamuntu,njiha,kinji,fuwime,nyobe
kamuntu,njiha,kinji,wangaki,gano
kamuntu,njiha,kinji,wangaki,jechi
kamuntu,njiha,kinji,wangaki,minyu
kamuntu,njiha,kinji,wangaki,mono
kamuntu,njiha,kinji,wangaki,pipaho
kamuntu,njiha,kinji,zani,hija
kamuntu,njiha,kinji,zani,malanji
kamuntu,njiha,kinji,zani,povenja
kamuntu,njiha,kinji,zani,semwiwa
